date,position,driver_number
2024-07-28 12:08:41.711000+00:00,11,1
2024-07-28 12:08:41.711000+00:00,18,2
2024-07-28 12:08:41.711000+00:00,13,3
2024-07-28 12:08:41.711000+00:00,4,4
2024-07-28 12:08:41.711000+00:00,12,10
2024-07-28 12:08:41.711000+00:00,2,11
2024-07-28 12:08:41.711000+00:00,8,14
2024-07-28 12:08:41.711000+00:00,1,16
2024-07-28 12:08:41.711000+00:00,15,18
2024-07-28 12:08:41.711000+00:00,17,20
2024-07-28 12:08:41.711000+00:00,20,22
2024-07-28 12:08:41.711000+00:00,10,23
2024-07-28 12:08:41.711000+00:00,19,24
2024-07-28 12:08:41.711000+00:00,16,27
2024-07-28 12:08:41.711000+00:00,9,31
2024-07-28 12:08:41.711000+00:00,3,44
2024-07-28 12:08:41.711000+00:00,7,55
2024-07-28 12:08:41.711000+00:00,6,63
2024-07-28 12:08:41.711000+00:00,14,77
2024-07-28 12:08:41.711000+00:00,5,81
2024-07-28 13:04:26.993000+00:00,3,11
2024-07-28 13:04:26.993000+00:00,2,44
2024-07-28 13:04:27.214000+00:00,5,4
2024-07-28 13:04:27.214000+00:00,4,81
2024-07-28 13:04:27.280000+00:00,6,4
2024-07-28 13:04:27.280000+00:00,5,63
2024-07-28 13:04:27.583000+00:00,7,4
2024-07-28 13:04:27.583000+00:00,6,55
2024-07-28 13:04:28.357000+00:00,9,14
2024-07-28 13:04:28.357000+00:00,8,23
2024-07-28 13:04:28.357000+00:00,10,31
2024-07-28 13:04:28.382000+00:00,9,1
2024-07-28 13:04:28.382000+00:00,10,14
2024-07-28 13:04:28.382000+00:00,11,31
2024-07-28 13:04:29.053000+00:00,14,3
2024-07-28 13:04:29.053000+00:00,13,10
2024-07-28 13:04:29.053000+00:00,12,77
2024-07-28 13:04:29.839000+00:00,16,18
2024-07-28 13:04:29.839000+00:00,15,27
2024-07-28 13:04:30.614000+00:00,19,2
2024-07-28 13:04:30.614000+00:00,18,22
2024-07-28 13:04:30.614000+00:00,20,24
2024-07-28 13:04:30.623000+00:00,20,2
2024-07-28 13:04:30.623000+00:00,19,24
2024-07-28 13:05:49.725000+00:00,10,1
2024-07-28 13:05:49.725000+00:00,8,14
2024-07-28 13:05:49.725000+00:00,9,23
2024-07-28 13:05:50.225000+00:00,9,1
2024-07-28 13:05:50.225000+00:00,10,23
2024-07-28 13:05:51.702000+00:00,12,10
2024-07-28 13:05:51.702000+00:00,13,77
2024-07-28 13:05:52.661000+00:00,15,18
2024-07-28 13:05:52.661000+00:00,16,27
2024-07-28 13:05:54.357000+00:00,19,22
2024-07-28 13:05:54.357000+00:00,18,24
2024-07-28 13:07:40.253000+00:00,8,1
2024-07-28 13:07:40.253000+00:00,9,14
2024-07-28 13:09:24.787000+00:00,2,16
2024-07-28 13:09:24.787000+00:00,1,44
2024-07-28 13:09:38.117000+00:00,18,22
2024-07-28 13:09:38.117000+00:00,19,24
2024-07-28 13:09:39.024000+00:00,19,2
2024-07-28 13:09:39.024000+00:00,20,24
2024-07-28 13:17:01.407000+00:00,16,20
2024-07-28 13:17:01.407000+00:00,17,27
2024-07-28 13:17:02.431000+00:00,17,22
2024-07-28 13:17:02.431000+00:00,18,27
2024-07-28 13:17:03.822000+00:00,18,2
2024-07-28 13:17:03.822000+00:00,19,27
2024-07-28 13:18:46.897000+00:00,11,23
2024-07-28 13:18:46.897000+00:00,10,31
2024-07-28 13:18:48.259000+00:00,11,10
2024-07-28 13:18:48.259000+00:00,12,23
