meeting_key,session_key,circuit_key,circuit_short_name,country_key,country_name,location,gmt_offset,start_date,end_date
1229,9465,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-02-29T11:30:00+00:00,2024-02-29T12:30:00+00:00
1229,9466,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-02-29T15:00:00+00:00,2024-02-29T16:00:00+00:00
1229,9467,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-03-01T12:30:00+00:00,2024-03-01T13:30:00+00:00
1230,9473,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-07T13:30:00+00:00,2024-03-07T14:30:00+00:00
1230,9474,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-07T17:00:00+00:00,2024-03-07T18:00:00+00:00
1230,9475,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-08T13:30:00+00:00,2024-03-08T14:30:00+00:00
1231,9481,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-22T01:30:00+00:00,2024-03-22T02:30:00+00:00
1231,9482,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-22T05:00:00+00:00,2024-03-22T06:00:00+00:00
1231,9483,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-23T01:30:00+00:00,2024-03-23T02:30:00+00:00
1232,9489,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-05T02:30:00+00:00,2024-04-05T03:30:00+00:00
1232,9490,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-05T06:00:00+00:00,2024-04-05T07:00:00+00:00
1232,9491,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-06T02:30:00+00:00,2024-04-06T03:30:00+00:00
1233,9663,49,Shanghai,53,China,Shanghai,08:00:00,2024-04-19T03:30:00+00:00,2024-04-19T04:30:00+00:00
1234,9497,151,Miami,19,United States,Miami,-04:00:00,2024-05-03T16:30:00+00:00,2024-05-03T17:30:00+00:00
1235,9508,6,Imola,13,Italy,Imola,02:00:00,2024-05-17T11:30:00+00:00,2024-05-17T12:30:00+00:00
1235,9509,6,Imola,13,Italy,Imola,02:00:00,2024-05-17T15:00:00+00:00,2024-05-17T16:00:00+00:00
1235,9510,6,Imola,13,Italy,Imola,02:00:00,2024-05-18T10:30:00+00:00,2024-05-18T11:30:00+00:00
1236,9516,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-24T11:30:00+00:00,2024-05-24T12:30:00+00:00
1236,9517,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-24T15:00:00+00:00,2024-05-24T16:00:00+00:00
1236,9518,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-25T10:30:00+00:00,2024-05-25T11:30:00+00:00
1237,9524,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-07T17:30:00+00:00,2024-06-07T18:30:00+00:00
1237,9525,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-07T21:00:00+00:00,2024-06-07T22:00:00+00:00
1237,9526,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-08T16:30:00+00:00,2024-06-08T17:30:00+00:00
1238,9532,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-21T11:30:00+00:00,2024-06-21T12:30:00+00:00
1238,9533,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-21T15:00:00+00:00,2024-06-21T16:00:00+00:00
1238,9534,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-22T10:30:00+00:00,2024-06-22T11:30:00+00:00
1239,9540,19,Spielberg,17,Austria,Spielberg,02:00:00,2024-06-28T10:30:00+00:00,2024-06-28T11:30:00+00:00
1240,9551,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-05T11:30:00+00:00,2024-07-05T12:30:00+00:00
1240,9552,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-05T15:00:00+00:00,2024-07-05T16:00:00+00:00
1240,9553,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-06T10:30:00+00:00,2024-07-06T11:30:00+00:00
1241,9559,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-19T11:30:00+00:00,2024-07-19T12:30:00+00:00
1241,9560,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-19T15:00:00+00:00,2024-07-19T16:00:00+00:00
1241,9561,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-20T10:30:00+00:00,2024-07-20T11:30:00+00:00
1242,9567,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-26T11:30:00+00:00,2024-07-26T12:30:00+00:00
1242,9568,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-26T15:00:00+00:00,2024-07-26T16:00:00+00:00
1242,9569,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-27T10:30:00+00:00,2024-07-27T11:30:00+00:00
1243,9575,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-23T10:30:00+00:00,2024-08-23T11:30:00+00:00
1243,9576,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-23T14:00:00+00:00,2024-08-23T15:00:00+00:00
1243,9577,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-24T09:30:00+00:00,2024-08-24T10:30:00+00:00
1244,9583,39,Monza,13,Italy,Monza,02:00:00,2024-08-30T11:30:00+00:00,2024-08-30T12:30:00+00:00
1244,9584,39,Monza,13,Italy,Monza,02:00:00,2024-08-30T15:00:00+00:00,2024-08-30T16:00:00+00:00
1244,9585,39,Monza,13,Italy,Monza,02:00:00,2024-08-31T10:30:00+00:00,2024-08-31T11:30:00+00:00
