meeting_key,session_key,circuit_key,circuit_short_name,country_key,country_name,location,gmt_offset,start_date,end_date
1229,9472,63,Sakhir,36,Bahrain,Sakhir,03:00:00,2024-03-02T15:00:00+00:00,2024-03-02T17:00:00+00:00
1230,9480,149,Jeddah,153,Saudi Arabia,Jeddah,03:00:00,2024-03-09T17:00:00+00:00,2024-03-09T19:00:00+00:00
1231,9488,10,Melbourne,5,Australia,Melbourne,11:00:00,2024-03-24T04:00:00+00:00,2024-03-24T06:00:00+00:00
1232,9496,46,Suzuka,4,Japan,Suzuka,09:00:00,2024-04-07T05:00:00+00:00,2024-04-07T07:00:00+00:00
1233,9673,49,Shanghai,53,China,Shanghai,08:00:00,2024-04-21T07:00:00+00:00,2024-04-21T09:00:00+00:00
1234,9507,151,Miami,19,United States,Miami,-04:00:00,2024-05-05T20:00:00+00:00,2024-05-05T22:00:00+00:00
1235,9515,6,Imola,13,Italy,Imola,02:00:00,2024-05-19T13:00:00+00:00,2024-05-19T15:00:00+00:00
1236,9523,22,Monte Carlo,114,Monaco,Monaco,02:00:00,2024-05-26T13:00:00+00:00,2024-05-26T15:00:00+00:00
1237,9531,23,Montreal,46,Canada,Montréal,-04:00:00,2024-06-09T18:00:00+00:00,2024-06-09T20:00:00+00:00
1238,9539,15,Catalunya,1,Spain,Barcelona,02:00:00,2024-06-23T13:00:00+00:00,2024-06-23T15:00:00+00:00
1239,9550,19,Spielberg,17,Austria,Spielberg,02:00:00,2024-06-30T13:00:00+00:00,2024-06-30T15:00:00+00:00
1240,9558,2,Silverstone,2,Great Britain,Silverstone,01:00:00,2024-07-07T14:00:00+00:00,2024-07-07T16:00:00+00:00
1241,9566,4,Hungaroring,14,Hungary,Budapest,02:00:00,2024-07-21T13:00:00+00:00,2024-07-21T15:00:00+00:00
1242,9574,7,Spa-Francorchamps,16,Belgium,Spa-Francorchamps,02:00:00,2024-07-28T13:00:00+00:00,2024-07-28T15:00:00+00:00
1243,9582,55,Zandvoort,133,Netherlands,Zandvoort,02:00:00,2024-08-25T13:00:00+00:00,2024-08-25T15:00:00+00:00
1244,9590,39,Monza,13,Italy,Monza,02:00:00,2024-09-01T13:00:00+00:00,2024-09-01T15:00:00+00:00
